compound,conductivities,nonlog,,
Insulation materials,0.0975,0.0975,,
Ingot iron,52.5,52.5,,
Ice (0 \degree C),2.18,2.18,,
Hydrogen sulfide  (gas),0.013,0.013,,
Hydrogen  (gas),0.168,0.168,,
Hydrochloric acid  (gas),0.013,0.013,,
Honey  (12.6\% moisture content),0.5,0.5,,
Helium  (gas),0.142,0.142,,
Hardwoods  (oak),0.16,0.16,,
Hardboard high density,0.15,0.15,,
Hairfelt,0.05,0.05,,
Gypsum board,0.17,0.17,,
Ground or soil  (very moist area),1.4,1.4,,
Ground or soil  (very dry area),0.33,0.33,,
Ground or soil  (moist area),1,1,,
Ground or soil  (dry area),0.5,0.5,,
Gravel,0.7,0.7,,
Graphite,168,168,,
Granite,2.85,2.85,,
Gold,310,310,,
Glycerol,0.28,0.28,,
Glass  (wool Insulation),0.04,0.04,,
Glass  (window),0.96,0.96,,
Glass  (Pearls),0.76,0.76,,
Glass  (Pearls),0.18,0.18,,
Glass,1.05,1.05,,
Gasoline,0.15,0.15,,
Foam glass,0.045,0.045,,
Fluorine  (gas),0.0254,0.0254,,
Fire-clay brick 500\degree C,1.4,1.4,,
Fiberglass,0.04,0.04,,
Fiber insulating board,0.048,0.048,,
Fiber hardboard,0.2,0.2,,
Felt insulation,0.04,0.04,,
Feathers,0.034,0.034,,
Ethylene glycol,0.25,0.25,,
Ethylene  (gas),0.017,0.017,,
Ether,0.14,0.14,,
Ethane  (gas),0.018,0.018,,
Epoxy,0.35,0.35,,
Engine Oil,0.15,0.15,,
Emery,11.6,11.6,,
Ebonite,0.17,0.17,,
Earth  (dry),1.5,1.5,,
Duralium,129,129,,
Dichlorodifluoromethane R-12 (gas),0.007,0.007,,
Dichlorodifluoromethane R-12 (liquid),0.09,0.09,,
Diatomite,0.12,0.12,,
Diatomaceous earth  (Sil-o-cel),0.06,0.06,,
Diamond,1000,1000,,
Cotton Wool insulation,0.029,0.029,,
Cotton wool,0.029,0.029,,
Cotton,0.04,0.04,,
